"IFSI.SF";"SEXE";"NEC.ARRET";"ENV.ARRET";"CIG.JOUR";"STADE.1";"STADE.2";"SCORES"
"IFSI";"H";"c-Entre les deux";"d-Plutot d'accord";12;"b-C";"a-PC";-3,16919079491696
"IFSI";"F";"d-Plutot d'accord";"b-Plutot pas";7;"b-C";"c-P";-3,16919079491696
"IFSI";"F";"c-Entre les deux";"e-Tout a fait";4;"b-C";"b-C";-1,07008984576757
"IFSI";"F";"e-Tout a fait";"c-Entre les deux";12;"b-C";"a-PC";-6,3796857
"IFSI";"F";"a-Pas du tout";"a-Pas du tout";5;"a-PC";"a-PC";-6,3796857
"IFSI";"F";"e-Tout a fait";"c-Entre les deux";15;"b-C";"b-C";-1,14344764131192
"IFSI";"F";"c-Entre les deux";"c-Entre les deux";20;"a-PC";"a-PC";-2,63233352282644
"SF";"F";"b-Plutot pas";"b-Plutot pas";7;"a-PC";"a-PC";-6,3796857
"SF";"F";"e-Tout a fait";"b-Plutot pas";10;"a-PC";"a-PC";-1,61899831094022
"SF";"F";"b-Plutot pas";"a-Pas du tout";7;"a-PC";"a-PC";-4,31464915690201
"SF";"F";"b-Plutot pas";"a-Pas du tout";10;"a-PC";"a-PC";-1,53989920302634
"SF";"H";"e-Tout a fait";"e-Tout a fait";20;"c-P";"b-C";-1,07008984576757
"SF";"F";"a-Pas du tout";"a-Pas du tout";1;"a-PC";"b-C";2,66502737300807
"SF";"F";"e-Tout a fait";"d-Plutot d'accord";7;"b-C";"b-C";-2,63233352282644
"IFSI";"F";"b-Plutot pas";"b-Plutot pas";3;"b-C";"a-PC";-2,2759783654667
"IFSI";"F";"d-Plutot d'accord";"c-Entre les deux";6;"b-C";"b-C";-2,97888519761287
"IFSI";"F";"e-Tout a fait";"a-Pas du tout";10;"a-PC";"a-PC";-6,3796857
"IFSI";"F";"d-Plutot d'accord";"b-Plutot pas";10;"a-PC";"a-PC";-4,10471273052739
"IFSI";"H";"c-Entre les deux";"c-Entre les deux";1;"d-A";"a-PC";2,66502737300807
"IFSI";"H";"c-Entre les deux";"c-Entre les deux";5;"a-PC";"a-PC";-3,70569160836784
"IFSI";"F";"d-Plutot d'accord";"a-Pas du tout";4;"a-PC";"a-PC";-6,3796857
